Name,Location,Mass,Method,Carbon %,Nitrogen %,Analysis Date,
EDTA,A01,0.1013,PLANT ANALYSIS,44.588,10.544,06-Jan-24 7:27:45 PM,
Blank,A02,1.0000,PLANT ANALYSIS,-0.02058,-0.01131,06-Jan-24 7:34:03 PM,
Blank,A02,1.0000,PLANT ANALYSIS,-0.02084,-0.01104,06-Jan-24 7:40:21 PM,
Blank,A02,1.0000,PLANT ANALYSIS,-0.02111,-0.01263,06-Jan-24 7:46:40 PM,
ORCHARD LEAVES NEW,A03,0.1041,PLANT ANALYSIS,48.341,1.6784,06-Jan-24 7:52:59 PM,
ORCHARD LEAVES NEW,A04,0.1030,PLANT ANALYSIS,49.226,1.6954,06-Jan-24 7:59:17 PM,
ORCHARD LEAVES NEW,A05,0.1055,PLANT ANALYSIS,49.426,1.8192,06-Jan-24 8:05:36 PM,
A12R,A06,0.1049,PLANT ANALYSIS,45.883,2.1318,06-Jan-24 8:11:54 PM,
B3,A07,0.1047,PLANT ANALYSIS,42.062,2.9250,06-Jan-24 8:18:12 PM,
A18L,A08,0.1017,PLANT ANALYSIS,45.484,2.3213,06-Jan-24 8:24:31 PM,
A21L,A09,0.1024,PLANT ANALYSIS,46.898,2.4634,06-Jan-24 8:30:49 PM,
A1L,A10,0.1020,PLANT ANALYSIS,45.700,2.7934,06-Jan-24 8:37:08 PM,
A4L,B01,0.1014,PLANT ANALYSIS,44.786,2.7121,06-Jan-24 8:43:26 PM,
A5L,B02,0.1070,PLANT ANALYSIS,44.839,3.2211,06-Jan-24 8:49:45 PM,
A2L,B03,0.1057,PLANT ANALYSIS,43.789,2.8836,06-Jan-24 8:56:03 PM,
A13L,B04,0.1015,PLANT ANALYSIS,46.902,2.7062,06-Jan-24 9:02:22 PM,
A3L,B05,0.1027,PLANT ANALYSIS,44.538,2.9540,06-Jan-24 9:08:41 PM,
A12L,B06,0.1022,PLANT ANALYSIS,46.531,2.6553,06-Jan-24 9:14:59 PM,
A11L,B07,0.1029,PLANT ANALYSIS,45.999,2.5038,06-Jan-24 9:21:17 PM,
B8R,B08,0.1024,PLANT ANALYSIS,38.571,0.98258,06-Jan-24 9:27:36 PM,
A17L,B09,0.1011,PLANT ANALYSIS,44.993,2.1737,06-Jan-24 9:33:54 PM,
ORCHARD LEAVES NEW,B10,0.1015,PLANT ANALYSIS,49.736,1.6778,06-Jan-24 9:40:13 PM,
A25L,C01,0.1023,PLANT ANALYSIS,46.195,2.9027,06-Jan-24 9:46:31 PM,
B14R,C02,0.1067,PLANT ANALYSIS,33.019,0.64348,06-Jan-24 9:52:50 PM,
A15L,C03,0.1031,PLANT ANALYSIS,46.546,2.6304,06-Jan-24 9:59:08 PM,
B12L,C04,0.1028,PLANT ANALYSIS,41.753,1.6665,06-Jan-24 10:05:27 PM,
A22L,C05,0.1017,PLANT ANALYSIS,47.034,2.5579,06-Jan-24 10:11:46 PM,
B22L,C06,0.1000,PLANT ANALYSIS,42.854,0.96331,06-Jan-24 10:18:05 PM,
B17L,C07,0.1050,PLANT ANALYSIS,40.617,2.1221,06-Jan-24 10:24:23 PM,
B15L,C08,0.1042,PLANT ANALYSIS,41.112,2.0339,06-Jan-24 10:30:42 PM,
B4R,C09,0.1046,PLANT ANALYSIS,32.767,1.2971,06-Jan-24 10:37:00 PM,
B23R,C10,0.1046,PLANT ANALYSIS,44.116,0.93983,06-Jan-24 10:43:19 PM,
B13R,D01,0.1008,PLANT ANALYSIS,36.317,0.85539,06-Jan-24 10:49:38 PM,
A5R,D02,0.1074,PLANT ANALYSIS,41.438,2.7704,06-Jan-24 10:55:56 PM,
A20R,D03,0.1020,PLANT ANALYSIS,44.454,1.9669,06-Jan-24 11:02:14 PM,
B5R,D04,0.1064,PLANT ANALYSIS,42.138,1.3252,06-Jan-24 11:08:32 PM,
B5R2,D05,0.1073,PLANT ANALYSIS,31.123,1.4981,06-Jan-24 11:14:50 PM,
A11R,D06,0.1050,PLANT ANALYSIS,45.189,1.9557,06-Jan-24 11:21:09 PM,
A18R,D07,0.1017,PLANT ANALYSIS,45.870,1.8371,06-Jan-24 11:27:27 PM,
B24R,D08,0.1010,PLANT ANALYSIS,37.807,0.95181,06-Jan-24 11:33:45 PM,
B20R,D09,0.0994,PLANT ANALYSIS,37.846,0.69961,06-Jan-24 11:40:04 PM,
B11R,D10,0.1055,PLANT ANALYSIS,42.492,0.95339,06-Jan-24 11:46:22 PM,
ORCHARD LEAVES NEW,E01,0.1062,PLANT ANALYSIS,49.014,1.6159,06-Jan-24 11:52:40 PM,
B15R,E02,0.1026,PLANT ANALYSIS,40.712,1.1055,06-Jan-24 11:58:59 PM,
B7R,E03,0.1081,PLANT ANALYSIS,32.656,0.88372,07-Jan-24 12:05:18 AM,
B18R,E04,0.1020,PLANT ANALYSIS,41.123,0.81985,07-Jan-24 12:11:36 AM,
B3R,E05,0.1002,PLANT ANALYSIS,35.081,1.6186,07-Jan-24 12:17:55 AM,
B3R2,E06,0.0994,PLANT ANALYSIS,41.510,0.85938,07-Jan-24 12:24:13 AM,
B17R,E07,0.1004,PLANT ANALYSIS,41.535,0.80123,07-Jan-24 12:30:32 AM,
B22R,E08,0.1089,PLANT ANALYSIS,42.822,0.74573,07-Jan-24 12:36:50 AM,
B16R,E09,0.1078,PLANT ANALYSIS,40.766,0.86185,07-Jan-24 12:43:09 AM,
A25R,E10,0.1011,PLANT ANALYSIS,45.854,1.9917,07-Jan-24 12:49:27 AM,
A14R,A06,0.1051,PLANT ANALYSIS,43.711,1.7557,07-Jan-24 12:55:46 AM,
B1R,A07,0.1054,PLANT ANALYSIS,35.371,1.2037,07-Jan-24 1:02:04 AM,
B16R,A08,0.1007,PLANT ANALYSIS,46.151,1.7362,07-Jan-24 1:08:23 AM,
B19R,A05,0.1059,PLANT ANALYSIS,37.347,0.77483,07-Jan-24 1:14:42 AM,
B25R,A04,0.1090,PLANT ANALYSIS,41.115,0.79198,07-Jan-24 1:21:00 AM,
