df,Treatment,sample,group,apH_First 7th,bHeight_First,cStem_First,dFresh biomass_Firstclip,dDry biomass_firstclip,dFresh biomass_Secondclip,dDry biomass_Secondclip,epH_Second,fEC_Second,gHeight_Second,hStem_Second,iCholorophyll_Second,jAmmonia_Second Lechates,kNitrate_Second Lechates,lPhosphate_Second Lechates,pH Harvest day,EC harvest day,Root Length (cm),Nodules Count,Shoot Biomass_harvestday,Root Biomass_harvestday
1,1,aAUF100_1,aAUF100,5.4,8.9,8,13.73,4.38,14.73,4.37,4.62,0.56,40.5,18,56.3,43.572,92.2076,0.071,5.18,0.55,30,0,40.87,9.36
1,1,aAUF100_2,aAUF100,5.42,22,6,14,4.41,14.67,4.35,4.9,0.62,48.6,20,54,83.162,91.7902,0.084,4.47,0.66,31,0,44.3,11.73
1,1,aAUF100_3,aAUF100,5.46,21.6,7,15,4.43,15.14,4.22,4.85,0.78,41.6,17,52.4,34.821,49.6116,0.126,4.81,0.79,32,0,40.94,10.36
1,1,aAUF100_4,aAUF100,5.38,17,8,17.5,4.4,17.43,4.21,4.94,0.8,45.9,18,50,83.285,34.8131,0.09,5.12,0.82,27,0,43.44,10.84
1,2,aAUF100_5,aAUF100,5.42,15.8,7,15.1,4.23,15.1,4.19,4.88,0.93,50.6,17,53.2,39.012,54.3029,0.658,4.43,0.95,0,0,41.95,14.02
1,2,bAUF200_1,bAUF200,4.64,24.6,4,10,4.3,6.9,4.2,4.98,0.79,40.2,1,53.7,83.979,57.2914,1.684,5.07,0.8,0,0,5.229,0
1,2,bAUF200_2,bAUF200,4.8,19.4,6,11,4.3,5.86,4.21,4.81,0.65,21.5,4,47.3,33.541,59.1224,0.27,4.72,0.66,0,0,5.14,0
1,2,bAUF200_3,bAUF200,4.78,17,6,12,4.29,10.77,4.23,4.87,0.58,29,11,46.8,83.535,62.1296,0.203,4.68,0.69,0,0,6.03,0
1,2,bAUF200_4,bAUF200,5.2,12.3,7,8,4.47,0,4.29,4.64,0.6,0,0,0,36.566,91.4085,3.166,4.35,0.62,27,0,4.75,0
1,2,bAUF200_5,bAUF200,5.3,16.4,6,17.24,4.47,18.14,4.14,4.74,0.72,47.2,12,50.9,83.162,91.456,0.407,4.93,0.75,28,0,6.03,0
1,3,cACF100_1,cACF100,5.34,18,8,11,4.41,10.82,4.32,5.92,0.6,45.4,20,49.6,4.867,53.4313,0.037,5.12,0.63,26,16,37.46,10.25
1,3,cACF100_2,cACF100,5.45,12,5,11,4.31,11.56,4.41,5.41,0.62,47.4,16,45.7,0.22,33.6288,0.081,5.47,0.62,28,20,37.49,16.74
1,3,cACF100_3,cACF100,5.49,27,5,13,4.42,13.39,4.37,5.36,0.6,49.5,11,48.9,10.099,26.1059,0.092,5.36,0.6,24,22,36.9,18
1,3,cACF100_4,cACF100,5.22,13.5,4,11,4.28,10.36,4.22,5.06,0.54,52,12,41,8.851,26.9327,0.606,5.14,0.54,26,18,38.99,15.91
1,3,cACF100_5,cACF100,5.46,15.3,5,12,4.28,12.81,4.26,5.69,0.59,44.5,16,43.2,36.108,12.9954,1.076,5.34,0.59,26,20,38.42,15.32
1,4,dACF200_1,dACF200,5.45,22,6,12,4.41,11.87,4.18,4.79,0.49,44.9,16,45.3,85.508,3.3709,0.12,4.93,0.58,25,8,39.83,16.95
1,4,dACF200_2,dACF200,5.42,18.6,7,16,4.37,15.72,4.39,4.88,0.57,54.5,12,44.1,43.745,12.1882,0.216,4.64,0.57,23,7,36.78,17.58
1,4,dACF200_3,dACF200,5.36,19.2,7,10,4.38,9.37,4.24,4.77,0.66,39,14,48,91.427,20.7761,0.547,4.45,0.66,22,7,41.25,17.42
1,4,dACF200_4,dACF200,5.47,18.7,5,14,4.37,13.43,4.49,5.42,0.6,49.5,12,47.7,60.186,17.859,0.184,4.31,0.6,22,6,40.58,16.06
1,4,dACF200_5,dACF200,5.46,16.2,6,10.28,4.41,9.28,4.22,5.22,0.8,48.9,14,42.1,92.741,7.2393,1.196,4.54,0.8,23,5,40.08,17.45
1,5,eACK_1,eACK,5.46,33.4,5,11,4.33,10.11,4.2,6.37,0.72,53.4,11,50.9,-0.169,2.1137,0.355,5.7,0.72,21,19,39.11,9.55
1,5,eACK_2,eACK,5.55,22.5,7,14.2,4.46,13.16,4.34,6.27,0.54,44.9,13,46.8,0.022,4.5706,0.263,5.77,0.54,20,12,37.84,14.89
1,5,eACK_3,eACK,5.48,19.5,5,12.38,4.33,11.38,4.26,5.87,0.57,31.5,14,49.1,-0.048,4.8356,0.56,5.33,0.57,21,11,36.27,12.48
1,5,eACK_4,eACK,5.47,27,5,11.66,4.52,9.66,4.27,5.66,0.53,45.5,14,47.6,-0.385,1.457,0.322,5.5,0.53,22,14,39.13,13.69
1,5,eACK_5,eACK,5.46,8.7,5,12.2,4.3,10.2,4.54,5.81,0.52,29.2,15,44.3,0.595,1.9143,0.641,5.88,0.52,30,15,14.74,12.54
2,1,fBUF100_1,fBUF100,5.59,15.5,9,293,4.64,28.44,4.2,5.57,0.71,58,33,40,46.995,17.5552,0.162,5.25,0.71,31,0,54.57,25.1
2,1,fBUF100_2,fBUF100,5.54,15.8,8,35.02,4.63,34.05,4.57,5.66,0.57,67.5,29,44.9,85.166,74.5813,0.018,5.49,0.57,32,0,44.19,29.25
2,1,fBUF100_3,fBUF100,5.56,11.3,8,34.23,4.35,33.27,4.42,5.82,0.58,61.4,34,41.2,40.029,89.2935,0.007,5.27,0.58,27,0,45.76,20.77
2,1,fBUF100_4,fBUF100,5.45,16.5,9,29.25,4.7,29.23,4.6,5.52,0.65,56,35,37.3,66.572,82.8929,0.015,5.24,0.65,28,0,45.26,27.94
2,1,fBUF100_5,fBUF100,5.55,15.7,11,27.85,4.74,26.47,4.5,5.64,0.58,47,44,38.5,35.194,84.6768,0.047,5.05,0.58,25,0,41.15,18.19
2,2,gBUF200_1,gBUF200,5.1,12,9,39.54,4.57,38.58,4.49,5.17,0.52,60,37,45.6,83.472,87.1648,0.026,4.34,0.52,26,0,7.17,10.92
2,2,gBUF200_2,gBUF200,4.54,9.6,6,40.23,4.48,39.23,4.43,4.94,0.58,59.7,38,40.5,29.547,87.1075,0.026,4.28,0.58,26,0,8.28,14.16
2,2,gBUF200_3,gBUF200,4.9,14,10,35.25,4.79,33.17,4.51,5.21,0.57,75.3,36,41.9,82.916,91.1402,0.678,4.49,0.57,27,0,29.24,14.75
2,2,gBUF200_4,gBUF200,5.61,13.3,6,36,4.73,33.14,4.4,5.61,0.63,60,26,46.9,33.207,91.583,0.262,4.35,0.51,28,0,7.77,11.52
2,2,gBUF200_5,gBUF200,5.55,14.1,10,37,4.4,34.2,4.53,5.43,0.66,56,53,42.5,83.1,91.5195,0.584,4.47,0.59,26,0,8.81,10.29
2,3,hBCF100_1,hBCF100,5.42,11.4,8,15,4.67,10.25,4.51,5.34,0.51,39.5,25,22,-0.748,2.381,0.298,5.8,0.46,28,0,41.97,29.24
2,3,hBCF100_2,hBCF100,5.48,13,7,11.5,4.84,8.78,3.94,4.88,0.66,39,15,22.9,7.07,91.4402,0.541,5.17,0.56,24,0,33.05,22.2
2,3,hBCF100_3,hBCF100,5.61,18,12,14.5,4.91,8.35,4.47,5.19,0.5,39.3,23,22,5.39,91.2978,0.683,5.25,0.75,26,0,35.77,33.52
2,3,hBCF100_4,hBCF100,5.42,16,7,15.5,4.51,11.8,4.48,5.32,0.51,53.6,15,18.1,1.091,91.0303,0.206,5.19,0.63,26,0,29.22,15.41
2,3,hBCF100_5,hBCF100,5.45,15,6,13.25,4.67,8.95,4.46,4.88,0.59,46,12,16.7,5.047,44.9928,0.154,5.44,0.66,25,0,32.84,14.24
2,4,iBCF200_1,iBCF200,5.48,14.5,9,14,4.58,9.84,4.45,4.73,0.46,39,17,18.9,26.982,45.1142,0.422,4.64,0.51,23,0,39.79,21.88
2,4,iBCF200_2,iBCF200,5.49,10.5,7,15,4.64,9.39,4.48,4.7,0.56,37.9,18,20.2,83.162,38.9386,0.362,4.77,0.66,22,0,37.97,23.64
2,4,iBCF200_3,iBCF200,5.45,12.2,9,14,4.59,9.18,4.43,4.83,0.75,37.6,22,21.6,28.589,35.313,0.803,4.84,0.5,22,0,37.61,28.27
2,4,iBCF200_4,iBCF200,5.44,12.8,9,14.5,4.51,8.83,4.41,4.56,0.53,33,20,19.2,83.285,19.245,0.354,4.97,0.53,23,0,37.43,32.54
2,4,iBCF200_5,iBCF200,5.51,11.1,9,13.5,4.74,8.28,4.53,4.43,0.65,37.8,20,19.1,62.889,0.0117,0.193,4.75,0.65,21,0,42.67,33.96
2,5,jBCK_1,jBCK,5.35,10.4,9,15.2,4.32,10,4.36,6.19,0.6,45.1,19,15.7,-0.331,0.8762,0.063,5.78,0.6,20,0,29.64,12.68
2,5,jBCK_2,jBCK,5.49,10.5,6,16.32,4.32,13.32,4.3,6.25,0.68,59.3,10,21.2,-0.458,0.0586,0.126,5.76,0.68,21,0,29.6,16.71
2,5,jBCK_3,jBCK,5.54,11.8,3,10,4.73,9.36,4.41,5.79,0.51,46.5,11,19.5,-0.47,0.2339,0.175,5.81,0.51,22,0,29.58,13.84
2,5,jBCK_4,jBCK,5.43,11.8,4,10.5,4.42,7.3,4.43,6.26,0.61,44.2,17,19.8,-0.458,0.0586,0.329,5.65,0.61,24,0,6.08,9.63
2,5,jBCK_5,jBCK,5.48,12.2,7,10.53,4.52,7.07,4.76,6.13,0.62,42.2,16,18.3,-0.47,0.2339,0.406,5.9,0.62,25,0,6.48,11.93
