Pot ID,Plant type,Block,Fertilizer type ,Dose  (N kg/ha),Application_method,Date,Action Item,Plant height,Stem count Ph,pH_30days,EC (dS/cm)_30days,Fresh Biomass(gm) (30days),Date,Action Item,pH_48days,EC (dS/cm)_48days,Date,Action Item,pH_56days,EC (uS/cm)_56days,Fresh.Biomass (gm)_56days_2ndSplitdose,Cholorphyll content (Spad)_56days,Date,Action Item,pH_65days,EC (uS/cm)_65days,Date,Action Item,pH_76days,EC (uS/cm)_76days,Cholorphyll_content (Spad)_76days,Date,Action Item,pH,EC (uS/cm),Cholorphyll_content (Spad),Fresh Biomass 
L4,L,1,UF,30,Split,20/09/2024,Before Fertilization ,,,5.33,0.35,4.7848,8/10/2024,after Fertilization first split dose ,5.23,1.2,16/10/2024,First clip (before second split dose),5.42,0.75,5.9048,41,25/10/2024,Measured ph and ec only ,5.32,0.85,6/11/2024,Measured ph and ec only ,5.67,0.85,41.73,16/11/2024,third clip (before third  split dose),5.67,0.85,41.73,9.379
L2,L,1,UF,10,Split,20/09/2024,Before Fertilization ,,,5.94,0.34,5.1,8/10/2024,after Fertilization first split dose ,5.32,1.21,16/10/2024,First clip (before second split dose),5.01,1.86,4.6214,42.8,25/10/2024,Measured ph and ec only ,4.91,1.96,6/11/2024,Measured ph and ec only ,5.9,1.96,43.53,16/11/2024,third clip (before third  split dose),5.9,1.96,43.53,8.393
L8,L,1,MF,30,One-time,20/09/2024,Before Fertilization ,,,5.54,0.32,4.79,8/10/2024,after Fertilization first split dose ,5.03,1.22,16/10/2024,First clip (before second split dose),5.26,1.74,5.69,37.5,25/10/2024,Measured ph and ec only ,5.16,1.84,6/11/2024,Measured ph and ec only ,6.02,1.91,38.23,16/11/2024,third clip (before third  split dose),6.02,1.91,38.23,10.203
L6,L,1,UF,50,Split,20/09/2024,Before Fertilization ,,,5.65,0.25,5.66,8/10/2024,after Fertilization first split dose ,5.12,1.3,16/10/2024,First clip (before second split dose),4.66,1.81,6.78,44.2,25/10/2024,Measured ph and ec only ,4.56,1.91,6/11/2024,Measured ph and ec only ,4.78,1.89,44.93,16/11/2024,third clip (before third  split dose),4.78,1.89,44.93,14.536
L9,L,1,MF,60,One-time,20/09/2024,Before Fertilization ,,,5.94,0.31,4.98,8/10/2024,after Fertilization first split dose ,5.11,1.08,16/10/2024,First clip (before second split dose),5.51,1.79,9.05,47.9,25/10/2024,Measured ph and ec only ,5.41,1.89,6/11/2024,Measured ph and ec only ,5.98,1.73,48.63,16/11/2024,third clip (before third  split dose),5.98,1.73,48.63,12.242
L5,L,1,UF,40,Split,20/09/2024,Before Fertilization ,,,5.68,0.32,5.3,8/10/2024,after Fertilization first split dose ,5.13,1.2,16/10/2024,First clip (before second split dose),5.59,1.63,8.43,45.1,25/10/2024,Measured ph and ec only ,5.49,1.73,6/11/2024,Measured ph and ec only ,4.8,1.76,45.83,16/11/2024,third clip (before third  split dose),4.8,1.76,45.83,16.278
L3,L,1,UF,20,Split,20/09/2024,Before Fertilization ,,,5.65,0.31,5.3,8/10/2024,after Fertilization first split dose ,5.43,1.21,16/10/2024,First clip (before second split dose),5.26,1.66,7.51,45.5,25/10/2024,Measured ph and ec only ,5.16,1.76,6/11/2024,Measured ph and ec only ,5.26,0.85,46.23,16/11/2024,third clip (before third  split dose),5.26,0.85,46.23,14.939
L1,L,1,None,0,Split,20/09/2024,Before Fertilization ,,,5.64,0.29,5.5,8/10/2024,after Fertilization first split dose ,5.05,1.23,16/10/2024,First clip (before second split dose),5.48,1.6,5.53,43.3,25/10/2024,Measured ph and ec only ,5.38,1.7,6/11/2024,Measured ph and ec only ,6.12,1.96,44.03,16/11/2024,third clip (before third  split dose),6.12,1.96,44.03,11.59
L7,L,1,UF,60,Split,20/09/2024,Before Fertilization ,,,5.78,0.28,4.98,8/10/2024,after Fertilization first split dose ,5.12,1.32,16/10/2024,First clip (before second split dose),4.49,1.52,5.63,37.7,25/10/2024,Measured ph and ec only ,4.39,1.62,6/11/2024,Measured ph and ec only ,5.01,1.84,38.43,16/11/2024,third clip (before third  split dose),5.01,1.84,38.43,8.019
L10,L,1,UF,30,One-time,20/09/2024,Before Fertilization ,,,5.79,0.24,4.7848,8/10/2024,after Fertilization first split dose ,4.76,1.43,16/10/2024,First clip (before second split dose),4.76,1.34,5.16,41.3,25/10/2024,Measured ph and ec only ,4.66,1.44,6/11/2024,Measured ph and ec only ,4.89,1.44,42.03,16/11/2024,third clip (before third  split dose),4.89,1.44,42.03,12.395
L6,L,2,UF,50,Split,20/09/2024,Before Fertilization ,,,5.48,0.2,5.1,8/10/2024,after Fertilization first split dose ,5.12,1.22,16/10/2024,First clip (before second split dose),4.78,1.81,6.84,41,25/10/2024,Measured ph and ec only ,4.68,1.91,6/11/2024,Measured ph and ec only ,4.75,1.76,49.8,16/11/2024,third clip (before third  split dose),4.75,1.76,49.8,15.091
L1,L,2,None,0,Split,20/09/2024,Before Fertilization ,,,5.78,0.3,4.79,8/10/2024,after Fertilization first split dose ,5.45,1.3,16/10/2024,First clip (before second split dose),5.51,1.79,6.74,42,25/10/2024,Measured ph and ec only ,5.41,1.89,6/11/2024,Measured ph and ec only ,6.35,0.85,42.8,16/11/2024,third clip (before third  split dose),6.35,0.85,42.8,11.275
L9,L,2,MF,60,One-time,20/09/2024,Before Fertilization ,,,5.68,0.23,5.66,8/10/2024,after Fertilization first split dose ,5.11,1.08,16/10/2024,First clip (before second split dose),5.42,1.63,5.78,39.9,25/10/2024,Measured ph and ec only ,5.32,1.73,6/11/2024,Measured ph and ec only ,5.95,1.96,43,16/11/2024,third clip (before third  split dose),5.95,1.96,43,11.239
L5,L,2,UF,40,Split,20/09/2024,Before Fertilization ,,,5.98,0.35,4.98,8/10/2024,after Fertilization first split dose ,5.14,1.2,16/10/2024,First clip (before second split dose),5.32,1.66,4.39,38.4,25/10/2024,Measured ph and ec only ,5.22,1.76,6/11/2024,Measured ph and ec only ,5.4,1.84,50.4,16/11/2024,third clip (before third  split dose),5.4,1.84,50.4,6.979
L3,L,2,UF,20,Split,20/09/2024,Before Fertilization ,,,5.68,0.32,5.3,8/10/2024,after Fertilization first split dose ,5.13,1.21,16/10/2024,First clip (before second split dose),5.12,0.75,11.14,43.2,25/10/2024,Measured ph and ec only ,5.02,0.85,6/11/2024,Measured ph and ec only ,6.01,1.44,37.7,16/11/2024,third clip (before third  split dose),6.01,1.44,37.7,12.645
L4,L,2,UF,30,Split,20/09/2024,Before Fertilization ,,,5.35,0.35,5.3,8/10/2024,after Fertilization first split dose ,5.2,1.22,16/10/2024,First clip (before second split dose),4.44,1.86,10.15,44.5,25/10/2024,Measured ph and ec only ,4.34,1.96,6/11/2024,Measured ph and ec only ,6.05,1.76,47,16/11/2024,third clip (before third  split dose),6.05,1.76,47,15.753
L8,L,2,MF,30,One-time,20/09/2024,Before Fertilization ,,,5.54,0.36,5.5,8/10/2024,after Fertilization first split dose ,5.11,1.3,16/10/2024,First clip (before second split dose),5.32,1.74,8.36,45.5,25/10/2024,Measured ph and ec only ,5.22,1.84,6/11/2024,Measured ph and ec only ,6.11,0.85,47.6,16/11/2024,third clip (before third  split dose),6.11,0.85,47.6,13.771
L7,L,2,UF,60,Split,20/09/2024,Before Fertilization ,,,5.68,0.29,4.98,8/10/2024,after Fertilization first split dose ,5.21,1.08,16/10/2024,First clip (before second split dose),4.98,1.6,7.68,44.8,25/10/2024,Measured ph and ec only ,4.88,1.7,6/11/2024,Measured ph and ec only ,5.33,1.96,43.3,16/11/2024,third clip (before third  split dose),5.33,1.96,43.3,17.499
L2,L,2,UF,10,Split,20/09/2024,Before Fertilization ,,,5.94,0.35,4.7848,8/10/2024,after Fertilization first split dose ,5.32,1.2,16/10/2024,First clip (before second split dose),5.32,1.52,7.56,40.4,25/10/2024,Measured ph and ec only ,5.22,1.62,6/11/2024,Measured ph and ec only ,5.88,1.84,40.8,16/11/2024,third clip (before third  split dose),5.88,1.84,40.8,15.702
L11,L,2,UF,60,One-time,20/09/2024,Before Fertilization ,,,5.64,0.36,5.1,8/10/2024,after Fertilization first split dose ,4.69,1.21,16/10/2024,First clip (before second split dose),4.51,1.34,6.29,40.1,25/10/2024,Measured ph and ec only ,4.41,1.44,6/11/2024,Measured ph and ec only ,5.5,1.44,49,16/11/2024,third clip (before third  split dose),5.5,1.44,49,16.022
L5,L,3,UF,40,Split,20/09/2024,Before Fertilization ,,,5.78,0.35,4.79,8/10/2024,after Fertilization first split dose ,5.12,1.21,16/10/2024,First clip (before second split dose),5.48,1.79,6.87,48.3,25/10/2024,Measured ph and ec only ,5.38,1.89,6/11/2024,Measured ph and ec only ,5.21,1.89,49.03,16/11/2024,third clip (before third  split dose),5.21,1.89,49.03,14.708
L6,L,3,UF,50,Split,20/09/2024,Before Fertilization ,,,5.68,0.34,5.66,8/10/2024,after Fertilization first split dose ,5,1.3,16/10/2024,First clip (before second split dose),5.12,1.63,6.72,43.5,25/10/2024,Measured ph and ec only ,5.02,1.73,6/11/2024,Measured ph and ec only ,4.9,1.73,44.23,16/11/2024,third clip (before third  split dose),4.9,1.73,44.23,12.961
L10,L,3,UF,30,One-time,20/09/2024,Before Fertilization ,,,5.98,0.32,4.98,8/10/2024,after Fertilization first split dose ,4.78,1.22,16/10/2024,First clip (before second split dose),4.78,1.66,8.9,48.9,25/10/2024,Measured ph and ec only ,4.68,1.76,6/11/2024,Measured ph and ec only ,4.97,1.76,49.63,16/11/2024,third clip (before third  split dose),4.97,1.76,49.63,14.085
L2,L,3,UF,10,Split,20/09/2024,Before Fertilization ,,,5.68,0.25,5.3,8/10/2024,after Fertilization first split dose ,5.19,1.3,16/10/2024,First clip (before second split dose),5.32,0.75,7.51,35.8,25/10/2024,Measured ph and ec only ,5.22,0.85,6/11/2024,Measured ph and ec only ,5.9,0.85,36.53,16/11/2024,third clip (before third  split dose),5.9,0.85,36.53,14.871
L7,L,3,UF,60,Split,20/09/2024,Before Fertilization ,,,5.35,0.31,5.3,8/10/2024,after Fertilization first split dose ,5.03,1.08,16/10/2024,First clip (before second split dose),4.98,1.86,9.44,47,25/10/2024,Measured ph and ec only ,4.88,1.96,6/11/2024,Measured ph and ec only ,4.85,1.96,47.73,16/11/2024,third clip (before third  split dose),4.85,1.96,47.73,12.453
L4,L,3,UF,30,Split,20/09/2024,Before Fertilization ,,,5.54,0.32,5.5,8/10/2024,after Fertilization first split dose ,5.26,1.2,16/10/2024,First clip (before second split dose),5.32,1.74,13.88,47.7,25/10/2024,Measured ph and ec only ,5.22,1.84,6/11/2024,Measured ph and ec only ,5.32,1.84,48.43,16/11/2024,third clip (before third  split dose),5.32,1.84,48.43,12.356
L3,L,3,UF,20,Split,20/09/2024,Before Fertilization ,,,5.68,0.31,4.98,8/10/2024,after Fertilization first split dose ,5.49,1.21,16/10/2024,First clip (before second split dose),5.34,1.6,7.16,44.4,25/10/2024,Measured ph and ec only ,5.24,1.7,6/11/2024,Measured ph and ec only ,5.34,1.7,45.13,16/11/2024,third clip (before third  split dose),5.34,1.7,45.13,12.068
L11,L,3,UF,60,One-time,20/09/2024,Before Fertilization ,,,5.94,0.29,4.7848,8/10/2024,after Fertilization first split dose ,4.76,1.22,16/10/2024,First clip (before second split dose),4.64,1.52,9.1,50.5,25/10/2024,Measured ph and ec only ,4.54,1.62,6/11/2024,Measured ph and ec only ,4.87,1.62,51.23,16/11/2024,third clip (before third  split dose),4.87,1.62,51.23,16.412
L1,L,3,None,0,Split,20/09/2024,Before Fertilization ,,,5.64,0.28,5.1,8/10/2024,after Fertilization first split dose ,5.95,1.3,16/10/2024,First clip (before second split dose),5.55,1.34,10.34,35,25/10/2024,Measured ph and ec only ,5.45,1.44,6/11/2024,Measured ph and ec only ,6.23,1.44,35.73,16/11/2024,third clip (before third  split dose),6.23,1.44,35.73,10.76
L6,L,4,UF,50,Split,20/09/2024,Before Fertilization ,,,5.94,0.2,4.79,8/10/2024,after Fertilization first split dose ,4.99,1.2,16/10/2024,First clip (before second split dose),4.79,0.75,4.86,46.7,25/10/2024,Measured ph and ec only ,4.69,0.85,6/11/2024,Measured ph and ec only ,4.74,1.73,47.43,16/11/2024,third clip (before third  split dose),4.74,1.73,47.43,15.851
L2,L,4,UF,10,Split,20/09/2024,Before Fertilization ,,,5.54,0.3,5.66,8/10/2024,after Fertilization first split dose ,5.2,1.21,16/10/2024,First clip (before second split dose),5.43,1.86,5.13,43.7,25/10/2024,Measured ph and ec only ,5.33,1.96,6/11/2024,Measured ph and ec only ,5.23,1.76,44.43,16/11/2024,third clip (before third  split dose),5.23,1.76,44.43,10.383
L4,L,4,UF,30,Split,20/09/2024,Before Fertilization ,,,5.65,0.23,4.98,8/10/2024,after Fertilization first split dose ,5.15,1.3,16/10/2024,First clip (before second split dose),5.32,1.74,7.58,43.9,25/10/2024,Measured ph and ec only ,5.22,1.84,6/11/2024,Measured ph and ec only ,5.21,0.85,44.63,16/11/2024,third clip (before third  split dose),5.21,0.85,44.63,14.266
L10,L,4,UF,30,One-time,20/09/2024,Before Fertilization ,,,5.94,0.35,5.3,8/10/2024,after Fertilization first split dose ,4.77,1.08,16/10/2024,First clip (before second split dose),4.89,1.6,8.86,44.6,25/10/2024,Measured ph and ec only ,4.79,1.7,6/11/2024,Measured ph and ec only ,4.84,1.96,45.33,16/11/2024,third clip (before third  split dose),4.84,1.96,45.33,13.928
L9,L,4,MF,60,One-time,20/09/2024,Before Fertilization ,,,5.68,0.32,5.3,8/10/2024,after Fertilization first split dose ,5.01,1.2,16/10/2024,First clip (before second split dose),5.21,1.52,11.8,41.6,25/10/2024,Measured ph and ec only ,5.11,1.62,6/11/2024,Measured ph and ec only ,5.32,1.84,42.33,16/11/2024,third clip (before third  split dose),5.32,1.84,42.33,10.225
L5,L,4,UF,40,Split,20/09/2024,Before Fertilization ,,,5.65,0.35,5.5,8/10/2024,after Fertilization first split dose ,5.01,1.21,16/10/2024,First clip (before second split dose),5.12,1.34,10.84,50.1,25/10/2024,Measured ph and ec only ,5.02,1.44,6/11/2024,Measured ph and ec only ,4.9,1.89,50.83,16/11/2024,third clip (before third  split dose),4.9,1.89,50.83,12.651
L1,L,4,None,0,Split,20/09/2024,Before Fertilization ,,,5.64,0.36,4.98,8/10/2024,after Fertilization first split dose ,4.75,1.23,16/10/2024,First clip (before second split dose),5.43,1.81,11,43.2,25/10/2024,Measured ph and ec only ,5.33,1.91,6/11/2024,Measured ph and ec only ,5.99,1.73,43.93,16/11/2024,third clip (before third  split dose),5.99,1.73,43.93,9.79
L7,L,4,UF,60,Split,20/09/2024,Before Fertilization ,,,5.78,0.29,4.7848,8/10/2024,after Fertilization first split dose ,5.12,1.32,16/10/2024,First clip (before second split dose),4.89,1.79,13.21,44.9,25/10/2024,Measured ph and ec only ,4.79,1.89,6/11/2024,Measured ph and ec only ,4.77,1.76,45.63,16/11/2024,third clip (before third  split dose),4.77,1.76,45.63,15.285
L3,L,4,UF,20,Split,20/09/2024,Before Fertilization ,,,5.79,0.35,5.1,8/10/2024,after Fertilization first split dose ,5.22,1.27,16/10/2024,First clip (before second split dose),512,1.63,8.07,41.9,25/10/2024,Measured ph and ec only ,511.9,1.73,6/11/2024,Measured ph and ec only ,5.43,0.85,42.63,16/11/2024,third clip (before third  split dose),5.43,0.85,42.63,14.223
L5,L,5,UF,40,Split,20/09/2024,Before Fertilization ,,,5.94,0.35,4.79,8/10/2024,after Fertilization first split dose ,5.12,1.2,16/10/2024,First clip (before second split dose),4.98,0.75,7.73,42.6,25/10/2024,Measured ph and ec only ,4.88,0.85,6/11/2024,Measured ph and ec only ,5.35,1.96,48.5,16/11/2024,third clip (before third  split dose),5.35,1.96,48.5,16.875
L11,L,5,UF,60,One-time,20/09/2024,Before Fertilization ,,,5.54,0.34,5.66,8/10/2024,after Fertilization first split dose ,4.6,1.21,16/10/2024,First clip (before second split dose),4.55,1.86,6,45.8,25/10/2024,Measured ph and ec only ,4.45,1.96,6/11/2024,Measured ph and ec only ,5.29,1.84,50,16/11/2024,third clip (before third  split dose),5.29,1.84,50,12.173
L1,L,5,None,0,Split,20/09/2024,Before Fertilization ,,,5.65,0.32,4.98,8/10/2024,after Fertilization first split dose ,5.3,1.22,16/10/2024,First clip (before second split dose),5.54,1.81,7.04,42.5,25/10/2024,Measured ph and ec only ,5.44,1.91,6/11/2024,Measured ph and ec only ,5.77,1.7,32.8,16/11/2024,third clip (before third  split dose),5.77,1.7,32.8,8.503
L8,L,5,MF,30,One-time,20/09/2024,Before Fertilization ,,,5.94,0.25,5.3,8/10/2024,after Fertilization first split dose ,5.01,1.3,16/10/2024,First clip (before second split dose),5.02,1.79,4.83,43.7,25/10/2024,Measured ph and ec only ,4.92,1.89,6/11/2024,Measured ph and ec only ,5.62,1.62,38.5,16/11/2024,third clip (before third  split dose),5.62,1.62,38.5,10.616
L6,L,5,UF,50,Split,20/09/2024,Before Fertilization ,,,5.68,0.31,5.3,8/10/2024,after Fertilization first split dose ,5.02,1.08,16/10/2024,First clip (before second split dose),4.98,1.63,4.32,41.5,25/10/2024,Measured ph and ec only ,4.88,1.73,6/11/2024,Measured ph and ec only ,5.26,1.44,45.4,16/11/2024,third clip (before third  split dose),5.26,1.44,45.4,14.77
L7,L,5,UF,60,Split,20/09/2024,Before Fertilization ,,,5.65,0.32,5.5,8/10/2024,after Fertilization first split dose ,5.11,1.2,16/10/2024,First clip (before second split dose),4.89,1.66,10.26,46.7,25/10/2024,Measured ph and ec only ,4.79,1.76,6/11/2024,Measured ph and ec only ,5.59,1.7,38.1,16/11/2024,third clip (before third  split dose),5.59,1.7,38.1,15.543
L4,L,5,UF,30,Split,20/09/2024,Before Fertilization ,,,5.64,0.31,4.98,8/10/2024,after Fertilization first split dose ,5.12,1.21,16/10/2024,First clip (before second split dose),5.32,0.75,10.35,45.5,25/10/2024,Measured ph and ec only ,5.22,0.85,6/11/2024,Measured ph and ec only ,5.74,1.62,47.9,16/11/2024,third clip (before third  split dose),5.74,1.62,47.9,14.521
L3,L,5,UF,20,Split,20/09/2024,Before Fertilization ,,,5.78,0.29,5.5,8/10/2024,after Fertilization first split dose ,5.13,1.23,16/10/2024,First clip (before second split dose),5.12,1.86,11.68,44.2,25/10/2024,Measured ph and ec only ,5.02,1.96,6/11/2024,Measured ph and ec only ,5.8,1.44,41,16/11/2024,third clip (before third  split dose),5.8,1.44,41,15.84
L2,L,5,UF,10,Split,20/09/2024,Before Fertilization ,,,5.79,0.28,4.98,8/10/2024,after Fertilization first split dose ,5.23,1.32,16/10/2024,First clip (before second split dose),5.2,1.74,8.22,44.9,25/10/2024,Measured ph and ec only ,5.1,1.84,6/11/2024,Measured ph and ec only ,5.87,1.84,39.8,16/11/2024,third clip (before third  split dose),5.87,1.84,39.8,16.895
